T,X,Y
0.186000,2.391170,2.679080
0.187000,2.404026,2.692566
0.188000,2.416881,2.706043
0.189000,2.429737,2.719509
0.190000,2.442593,2.732966
0.191000,2.455449,2.746414
0.192000,2.468304,2.759851
0.193000,2.481160,2.773279
0.194000,2.494016,2.786696
0.195000,2.506872,2.800104
0.196000,2.519727,2.813502
0.197000,2.532583,2.826891
0.198000,2.545439,2.840269
0.199000,2.558295,2.853638
0.200000,2.571150,2.866997
0.201000,2.584006,2.880346
0.202000,2.596862,2.893685
0.203000,2.609718,2.907015
0.204000,2.622573,2.920334
0.205000,2.635429,2.933644
0.206000,2.648285,2.946944
0.207000,2.661141,2.960234
0.208000,2.673996,2.973515
0.209000,2.686852,2.986785
0.210000,2.699708,3.000046
0.211000,2.712564,3.013297
0.212000,2.725419,3.026538
0.213000,2.738275,3.039770
0.214000,2.751131,3.052991
0.215000,2.763987,3.066203
0.216000,2.776842,3.079405
0.217000,2.789698,3.092597
0.218000,2.802554,3.105779
0.219000,2.815410,3.118952
0.220000,2.828265,3.132114
0.221000,2.841121,3.145267
0.222000,2.853977,3.158410
0.223000,2.866833,3.171544
0.224000,2.879688,3.184667
0.225000,2.892544,3.197781
0.226000,2.905400,3.210885
0.227000,2.918256,3.223979
0.228000,2.931112,3.237063
0.229000,2.943967,3.250137
0.230000,2.956823,3.263202
0.231000,2.969679,3.276257
0.232000,2.982535,3.289302
0.233000,2.995390,3.302337
0.234000,3.008246,3.315362
0.235000,3.021102,3.328378
0.236000,3.033958,3.341383
0.237000,3.046813,3.354379
0.238000,3.059669,3.367365
0.239000,3.072525,3.380342
0.240000,3.085381,3.393308
0.241000,3.098236,3.406265
0.242000,3.111092,3.419212
0.243000,3.123948,3.432149
0.244000,3.136804,3.445076
0.245000,3.149659,3.457993
0.246000,3.162515,3.470901
0.247000,3.175371,3.483799
0.248000,3.188227,3.496687
0.249000,3.201082,3.509565
0.250000,3.213938,3.522433
0.251000,3.226794,3.535292
0.252000,3.239650,3.548141
0.253000,3.252505,3.560980
0.254000,3.265361,3.573809
0.255000,3.278217,3.586628
0.256000,3.291073,3.599438
0.257000,3.303928,3.612238
0.258000,3.316784,3.625027
0.259000,3.329640,3.637808
0.260000,3.342496,3.650578
0.261000,3.355351,3.663338
0.262000,3.368207,3.676089
0.263000,3.381063,3.688830
0.264000,3.393919,3.701561
0.265000,3.406774,3.714282
0.266000,3.419630,3.726994
0.267000,3.432486,3.739695
0.268000,3.445342,3.752387
0.269000,3.458197,3.765069
0.270000,3.471053,3.777741
0.271000,3.483909,3.790404
0.272000,3.496765,3.803056
0.273000,3.509620,3.815699
0.274000,3.522476,3.828332
0.275000,3.535332,3.840955
0.276000,3.548188,3.853568
0.277000,3.561043,3.866172
0.278000,3.573899,3.878765
0.279000,3.586755,3.891349
0.280000,3.599611,3.903923
0.281000,3.612466,3.916488
0.282000,3.625322,3.929042
0.283000,3.638178,3.941587
0.284000,3.651034,3.954122
0.285000,3.663889,3.966647
0.286000,3.676745,3.979162
0.287000,3.689601,3.991667
0.288000,3.702457,4.004163
0.289000,3.715312,4.016649
0.290000,3.728168,4.029125
0.291000,3.741024,4.041591
0.292000,3.753880,4.054047
0.293000,3.766735,4.066494
0.294000,3.779591,4.078931
0.295000,3.792447,4.091358
0.296000,3.805303,4.103775
0.297000,3.818158,4.116182
0.298000,3.831014,4.128580
0.299000,3.843870,4.140967
