0.000000	 0.000000
0.012856	 0.015311
0.025712	 0.030612
0.038567	 0.045904
0.051423	 0.061185
0.064279	 0.076457
0.077135	 0.091719
0.089990	 0.106972
0.102846	 0.122214
0.115702	 0.137447
0.128558	 0.152669
0.141413	 0.167882
0.154269	 0.183085
0.167125	 0.198279
0.179981	 0.213462
0.192836	 0.228636
0.205692	 0.243800
0.218548	 0.258954
0.231404	 0.274098
0.244259	 0.289233
0.257115	 0.304358
0.269971	 0.319473
0.282827	 0.334578
0.295682	 0.349673
0.308538	 0.364758
0.321394	 0.379834
0.334250	 0.394900
0.347105	 0.409956
0.359961	 0.425002
0.372817	 0.440038
0.385673	 0.455065
0.398528	 0.470082
0.411384	 0.485089
0.424240	 0.500086
0.437096	 0.515073
0.449951	 0.530051
0.462807	 0.545019
0.475663	 0.559976
0.488519	 0.574925
0.501374	 0.589863
0.514230	 0.604791
0.527086	 0.619710
0.539942	 0.634619
0.552797	 0.649518
0.565653	 0.664407
0.578509	 0.679287
0.591365	 0.694156
0.604220	 0.709016
0.617076	 0.723866
0.629932	 0.738706
0.642788	 0.753537
0.655643	 0.768357
0.668499	 0.783168
0.681355	 0.797969
0.694211	 0.812760
0.707066	 0.827541
0.719922	 0.842313
0.732778	 0.857075
0.745634	 0.871827
0.758489	 0.886569
0.771345	 0.901301
0.784201	 0.916024
0.797057	 0.930736
0.809912	 0.945439
0.822768	 0.960132
0.835624	 0.974815
0.848480	 0.989489
0.861335	 1.004152
0.874191	 1.018806
0.887047	 1.033450
0.899903	 1.048084
0.912758	 1.062709
0.925614	 1.077323
0.938470	 1.091928
0.951326	 1.106523
0.964181	 1.121108
0.977037	 1.135683
0.989893	 1.150249
1.002749	 1.164805
1.015604	 1.179351
1.028460	 1.193887
1.041316	 1.208413
1.054172	 1.222929
1.067027	 1.237436
1.079883	 1.251933
1.092739	 1.266420
1.105595	 1.280897
1.118450	 1.295365
1.131306	 1.309822
1.144162	 1.324270
1.157018	 1.338708
1.169873	 1.353136
1.182729	 1.367555
1.195585	 1.381963
1.208441	 1.396362
1.221296	 1.410751
1.234152	 1.425130
1.247008	 1.439499
1.259864	 1.453859
1.272719	 1.468208
1.285575	 1.482548
1.298431	 1.496878
1.311287	 1.511199
1.324142	 1.525509
1.336998	 1.539810
1.349854	 1.554101
1.362710	 1.568382
1.375565	 1.582653
1.388421	 1.596914
1.401277	 1.611166
1.414133	 1.625408
1.426988	 1.639640
1.439844	 1.653862
1.452700	 1.668074
1.465556	 1.682277
1.478412	 1.696470
1.491267	 1.710652
1.504123	 1.724826
1.516979	 1.738989
1.529835	 1.753142
1.542690	 1.767286
1.555546	 1.781420
1.568402	 1.795544
1.581258	 1.809658
1.594113	 1.823763
1.606969	 1.837857
1.619825	 1.851942
1.632681	 1.866017
1.645536	 1.880082
1.658392	 1.894138
1.671248	 1.908183
1.684104	 1.922219
1.696959	 1.936245
1.709815	 1.950261
1.722671	 1.964268
1.735527	 1.978264
1.748382	 1.992251
1.761238	 2.006228
1.774094	 2.020195
1.786950	 2.034152
1.799805	 2.048100
1.812661	 2.062037
1.825517	 2.075965
1.838373	 2.089883
1.851228	 2.103792
1.864084	 2.117690
1.876940	 2.131579
1.889796	 2.145457
1.902651	 2.159326
1.915507	 2.173186
1.928363	 2.187035
1.941219	 2.200875
1.954074	 2.214704
1.966930	 2.228524
1.979786	 2.242335
1.992642	 2.256135
2.005497	 2.269925
2.018353	 2.283706
2.031209	 2.297477
2.044065	 2.311238
2.056920	 2.324989
2.069776	 2.338731
2.082632	 2.352463
2.095488	 2.366184
2.108343	 2.379896
2.121199	 2.393599
2.134055	 2.407291
2.146911	 2.420974
2.159766	 2.434647
2.172622	 2.448310
2.185478	 2.461963
2.198334	 2.475606
2.211189	 2.489240
2.224045	 2.502863
2.236901	 2.516477
2.249757	 2.530082
2.262612	 2.543676
2.275468	 2.557260
2.288324	 2.570835
2.301180	 2.584400
2.314035	 2.597955
2.326891	 2.611500
2.339747	 2.625036
2.352603	 2.638562
2.365458	 2.652077
2.378314	 2.665583
2.391170	 2.679080
2.404026	 2.692566
2.416881	 2.706043
2.429737	 2.719509
2.442593	 2.732966
2.455449	 2.746414
2.468304	 2.759851
2.481160	 2.773279
2.494016	 2.786696
2.506872	 2.800104
2.519727	 2.813502
2.532583	 2.826891
2.545439	 2.840269
2.558295	 2.853638
2.571150	 2.866997
2.584006	 2.880346
2.596862	 2.893685
2.609718	 2.907015
2.622573	 2.920334
2.635429	 2.933644
2.648285	 2.946944
2.661141	 2.960234
2.673996	 2.973515
2.686852	 2.986785
2.699708	 3.000046
2.712564	 3.013297
2.725419	 3.026538
2.738275	 3.039770
2.751131	 3.052991
2.763987	 3.066203
2.776842	 3.079405
2.789698	 3.092597
2.802554	 3.105779
2.815410	 3.118952
2.828265	 3.132114
2.841121	 3.145267
2.853977	 3.158410
2.866833	 3.171544
2.879688	 3.184667
2.892544	 3.197781
2.905400	 3.210885
2.918256	 3.223979
2.931112	 3.237063
2.943967	 3.250137
2.956823	 3.263202
2.969679	 3.276257
2.982535	 3.289302
2.995390	 3.302337
3.008246	 3.315362
3.021102	 3.328378
3.033958	 3.341383
3.046813	 3.354379
3.059669	 3.367365
3.072525	 3.380342
3.085381	 3.393308
3.098236	 3.406265
3.111092	 3.419212
3.123948	 3.432149
3.136804	 3.445076
3.149659	 3.457993
3.162515	 3.470901
3.175371	 3.483799
3.188227	 3.496687
3.201082	 3.509565
3.213938	 3.522433
3.226794	 3.535292
3.239650	 3.548141
3.252505	 3.560980
